"","Ticker","MAPE_6month","Return_6month","MAPE_12month","Return_12month"
"1","AMAT","0.0197167648511288","0.334763997018015","0.00984916297083811","0.884443130664234"
"2","ADSK","0.00529080400952309","0.402045939136894","0.00520789354401439","0.747612515161805"
"3","BBY","0.008941549694406","0.0611639470413877","0.0566927183289505","0.311597643288795"
"4","CPB","0.00238100804292579","-0.172826265172284","0.0217688614130329","-0.085723868037339"
"5","STZ","0.0131843428423294","0.222038644695622","0.0153544555623923","0.392270731111894"
"6","CASY","0.00321824385115296","0.0157274168282931","0.00524080875994849","0.0198406896312795"
"7","CAG","0.0108053766889288","-0.0523282154539551","0.0185958848735292","-0.0294922952516231"
"8","COO","4.56019477379773e-05","0.199211737393665","0.0041071862921676","0.357433686950643"
"9","DG","0.000107100550625543","0.112052207633409","0.0102285808256336","0.192375267139081"
"10","DCI","0.0134788948702027","0.047594581971576","0.0438605814747058","0.419748969773921"
"11","FDX","0.0114107650822894","0.166826912031091","0.0108306823760465","0.172600765892263"
"12","M","0.156834617901435","-0.156590182626221","0.109882014112666","-0.408100598394308"
"13","GPS","0.0123708823079589","-0.0325587199376986","0.0139703076860432","-0.0464692107827819"
"14","GIS","0.0106683946080583","-0.0244414663035523","0.0507633765281912","-0.159366123343643"
"15","HEI","0.00473960760939161","0.263830375178848","0.28785502814574","0.877049178339004"
"16","HPQ","0.00386988201372561","0.136195966270373","0.0508882071556482","0.355537833201113"
"17","HD","0.0167068976515454","0.0265256951611377","0.0135188857177021","0.302918961709614"
"18","HRL","0.0645629984648687","-0.226441449952412","0.410499200382564","-0.872862255057337"
"19","KR","0.0592471000718012","-0.219128838348311","1.09542241291031","-1.83923108488249"
"20","LOW","0.00723217563953697","-0.071706230970334","0.00971529314716725","0.175796542054494"
"21","MKC","0.0028418092540328","-0.0133389136903107","0.015256612923185","0.155239302726279"
"22","MDT","0.0147812144837576","-0.00228226284192658","0.0123595176475633","0.00390373893817241"
"23","MU","0.0209553286893494","0.435378380444688","0.0211956460879293","1.29923670443485"
"24","NKE","0.0700595369086097","0.299981023590043","0.0488227427449401","0.319853376879263"
"25","JWN","0.0390928405054537","-0.114355453654807","0.0601840660805025","-0.304004867991334"
"26","PVH","0.0193761220259434","0.206531009915671","0.00960940659122444","0.182998146124679"
"27","RPM","0.00435726203368493","-0.0317464196911042","0.00491070664602544","-0.00905799181583935"
"28","RAD","0.440246374727068","0.10844294029408","0.212639776428524","-0.587020544105579"
"29","ROST","0.0155554071953783","-0.0536188554718329","0.0188270860194922","-0.0292109832087587"
"30","SJM","0.015773692552007","-0.136714013649931","0.0174041061708461","-0.151794585424953"
"31","THO","0.00856916171069337","0.392029710787468","0.00976911439854421","0.687509698006742"
"32","TTC","0.126762986621782","-0.277327594244578","0.0816602019494397","0.255165114286787"
"33","WMT","0.00833879866464005","0.141977640026344","0.0217915400875882","0.188281150361343"
"34","WSM","0.0206179142523305","-0.0846950740211009","0.014243200699186","0.0799481180067062"
"35","FL","0.0251628741048726","-0.59149471804824","0.0915006766939966","-0.442235567178232"
"36","TJX","0.000200502029845711","-0.112055059977537","0.0143406794534344","-0.0432450135332711"
"37","ORCL","0.00153661629757622","0.0841765320801538","0.00429241315641236","0.21387390901033"
"38","ADBE","0.00390705958512492","0.26922297895231","0.00312949759429231","0.747829726297281"
"39","TIF","0.00287177775318467","0.0156278050572144","0.0136289692486157","0.242973226803006"
"40","WDAY","0.00623855801347352","0.285753262103328","0.0159351223036781","0.319784145589219"
"41","SIG","0.0367821007023229","-0.0773633761558724","0.0642222400430175","-0.318898415577833"
"42","SPLS","0.042807009627693","0.197715466895888","0.0913468892284779","0.313296163211487"
"43","CSCO","0.00708310161166476","-0.0118513601431378","0.0209962355781693","0.0810101142709977"
"44","AZO","0.0159819054523077","0.258058688258168","0.091804194158271","-0.0699531353486219"
"45","SNPS","0.00433017740370283","0.163781629607371","0.00846576820574135","0.440116586667744"
"46","KSS","0.0111910703035551","0.0938938814182147","0.0239209588909486","-0.0613047946542255"
"47","BBBY","0.0317231393083135","-0.308033647828356","0.184953116905668","-0.295808202388672"
"48","PDCO","0.0101145129169944","-0.151529018748987","0.0413889222629353","-0.182402392014752"
"49","INTU","0.0115503178544073","0.178271240278371","0.0199959352042427","0.322262216869646"
"50","JBL","0.0240589105906208","0.0106349980307092","0.0212059997755949","0.357612916425502"
"51","COST","0.0226809401506828","-0.0241982574071986","0.0336369895575828","0.16650979529841"
"52","URBN","0.011422248083512","0.0471963703664585","0.0512426981192928","-0.24614304111287"
"53","CPRT","0.00766687557887066","0.192442130404998","0.725618836897102","0.364141701781149"
"54","DLTR","0.0207218332532445","0.1481422564784","0.0165359525247366","0.210185660897947"
"55","DRI","0.00643343533691456","-0.064038395763154","0.018561801792624","0.116884287036055"
"56","NTAP","0.0275195469684365","0.0533290701963387","0.0304119579570409","0.276109989732272"
"57","MSM","0.0345840108661993","-0.00119089489441445","0.0145564762083533","-0.0295356569820409"
"58","FDS","0.0113166838037729","0.179045461298834","0.0120823809334679","0.238217328211362"
"59","MTN","0.00423204264189593","0.168463244013427","0.00672241309963616","0.460090251922089"
"60","KMX","0.00982296059910894","0.118316097879503","0.0316788220014116","0.176327193085744"
"61","NVDA","0.0019147401742218","0.990431206432039","0.0450645252033541","2.17922967226885"
"62","BRCD","0.00763730337574336","0.0283013859880736","0.0144331170612832","0.408341807055033"
"63","RHT","0.00513103677559997","0.400683036247068","0.00283878105892086","0.588759791096923"
"64","A","0.00594903061124073","0.221082196095088","0.00408272513342057","0.54723083895458"
"65","MON","0.00122511155799857","0.0103045426975567","0.0116842869319373","0.136384956534673"
"66","GPN","0.0214537560726233","0.0622115919238318","0.0112004888576571","0.223503266160004"
"67","GME","0.0286429857474789","-0.129102035820152","0.0527458333533702","-0.126226044031477"
"68","AYI","0.00148138664963685","0.0491198907435915","0.0322620331900121","-0.343752018168166"
"69","DKS","0.029684910113938","-0.487185370900571","0.0419271350416438","-0.513278669328738"
"70","CRM","0.0722003233625467","0.359939180049304","0.0969150307210837","0.683341376753122"
"71","PANW","0.00282693652527494","0.36548519613542","0.047221089057318","-0.0999086615625841"
"72","VMW","0.0104402415939518","0.245121280994898","0.00981012598840028","0.598867445191744"
"73","AVGO","0.0124887616168404","0.165337538351521","0.0247375168336753","0.452667639237422"
